pair,species,origin,age,replicate,phenolics,toughness,thickness,leafN
1,agri,invasive,mature,1,16.11085167,88.33333333,0.00775,1.160432692
1,agri,invasive,mature,2,14.96296667,106.6666667,0.00825,1.345337176
1,agri,invasive,mature,3,13.93591167,116.6666667,0.006416667,1.148372024
1,agri,invasive,mature,4,,133.3333333,0.007583333,1.276154135
1,agri,invasive,mature,5,,90,0.0075,
1,agri,invasive,young,1,12.54636667,73.33333333,0.0055,2.952476035
1,agri,invasive,young,2,,80,0.004666667,1.52989429
1,agri,invasive,young,3,,70,0.004666667,2.349179707
1,agri,invasive,young,4,,120,0.005,
1,agri,invasive,young,5,,53.33333333,0.00525,
7,arka,native,mature,1,5.961131667,430,0.038875,1.786666667
7,arka,native,mature,2,,402.5,0.045125,1.593239286
7,arka,native,mature,3,,402.5,0.05275,1.871476667
7,arka,native,mature,4,,402.5,0.049875,1.381333333
7,arka,native,mature,5,,410,0.040375,
7,arka,native,young,1,5.659056667,205,0.036625,0.701870932
7,arka,native,young,2,5.659056667,155,0.035875,0.783455406
7,arka,native,young,3,,235,0.046125,
7,arka,native,young,4,,270,0.046625,
7,arka,native,young,5,,160,0.034875,
3,asme,native,mature,1,2.940381667,411.6666667,0.018125,1.199378242
3,asme,native,mature,2,2.940381667,430,0.01575,0.882756169
3,asme,native,mature,3,2.577891667,430,0.01975,1.064676104
3,asme,native,mature,4,,373.3333333,0.01625,1.038543251
3,asme,native,mature,5,,428.3333333,0.016125,
3,asme,native,young,1,3.484116667,310,0.01225,0.85490548
3,asme,native,young,2,3.302871667,388.3333333,0.01475,0.994953736
3,asme,native,young,3,,320,0.015375,1.181294306
3,asme,native,young,4,,296.6666667,0.011875,
3,asme,native,young,5,,336.6666667,0.01325,
2,coca,invasive,mature,1,6.806941667,40,0.004583333,1.353086538
2,coca,invasive,mature,2,8.438146667,20,0.006166667,1.447404762
2,coca,invasive,mature,3,7.109016667,15,0.0065,1.281424051
2,coca,invasive,mature,4,,11.66666667,0.005166667,1.730787879
2,coca,invasive,mature,5,,41.66666667,0.005416667,1.522471311
2,coca,invasive,young,1,6.021546667,8.333333333,0.00225,2.774423142
2,coca,invasive,young,2,9.888106667,5,0.004083333,2.686598719
2,coca,invasive,young,3,10.73391667,5,0.004416667,2.882753298
2,coca,invasive,young,4,,13.33333333,0.00425,
2,coca,invasive,young,5,,5,0.004,
3,crpo,invasive,mature,1,6.625696667,78.33333333,0.006,0.726258974
3,crpo,invasive,mature,2,5.900716667,140,0.00675,0.848439425
3,crpo,invasive,mature,3,7.350676667,183.3333333,0.00675,1.083103918
3,crpo,invasive,mature,4,,85,0.0045,1.098558484
3,crpo,invasive,mature,5,,116.6666667,0.007,
3,crpo,invasive,young,1,11.09640667,130,0.0055,2.897522023
